,overall_qual,year_built,roof_style,roof_matl,mas_vnr_area,exter_cond,bsmt_exposure,total_bsmt_sf,gr_liv_area,full_bath,kitchen_qual,garage_area,paved_drive,saleprice,has_basement,attached_garage,offsite_feature,residential_low,residential_other,floating_village,hillside,banked,culdesac,northridge,northridge_hts,briardale
25,6,1961,1.0,0.0,3.0,3,0.0,1453.0,1453,2,2,530.0,1,187500,1,1.0,0,1,0,0,0,0,0,0,0,0
26,5,1965,0.0,0.0,0.0,4,0.0,894.0,894,1,2,336.0,1,138500,1,0.0,0,1,0,0,0,0,0,0,0,0
27,5,1937,0.0,0.0,0.0,3,0.0,942.0,1938,2,3,240.0,1,198000,1,0.0,0,1,0,0,1,0,0,0,0,0
28,5,1895,0.0,0.0,0.0,4,0.0,957.0,1991,2,2,0.0,0,119600,1,0.0,0,0,0,0,0,0,0,0,0,0
29,5,1949,0.0,0.0,0.0,4,0.0,672.0,924,1,2,576.0,1,122900,1,0.0,0,1,0,0,0,0,0,0,0,0
30,8,1981,1.0,1.0,0.0,3,0.0,2524.0,2524,2,3,542.0,1,278000,1,1.0,1,1,0,0,0,0,0,0,0,0
31,8,1929,0.0,0.0,0.0,3,0.0,792.0,1517,1,3,400.0,1,230000,1,0.0,0,1,0,0,1,0,0,0,0,0
32,8,1995,1.0,0.0,0.0,4,0.0,1494.0,1494,1,4,481.0,1,270000,1,1.0,0,1,0,0,0,0,1,0,0,0
33,6,1952,1.0,0.0,0.0,3,0.0,948.0,948,1,2,410.0,0,125000,1,0.0,0,1,0,0,0,0,0,0,0,0
34,8,2007,1.0,0.0,336.0,3,1.0,1705.0,1718,2,3,826.0,1,297000,1,1.0,0,1,0,0,0,0,0,0,0,0
35,6,1958,0.0,0.0,82.0,3,1.0,160.0,1142,1,2,384.0,1,113500,1,0.0,0,1,0,0,1,0,0,0,0,0
36,5,1977,0.0,0.0,0.0,3,0.0,757.0,1475,2,2,336.0,1,127000,1,1.0,0,0,1,0,0,0,0,0,0,0
37,6,1977,1.0,0.0,480.0,3,0.0,1844.0,1844,2,2,546.0,1,190000,1,1.0,0,1,0,0,0,0,0,0,0,0
38,7,1973,1.0,0.0,320.0,3,0.0,1242.0,1242,1,2,528.0,1,175500,1,1.0,0,1,0,0,0,0,0,0,0,0
39,5,1994,0.0,0.0,0.0,4,0.0,990.0,990,1,2,384.0,1,146000,1,0.0,0,1,0,0,0,0,0,0,0,0
40,5,1965,0.0,0.0,0.0,3,0.0,1256.0,1256,1,2,276.0,1,147500,1,1.0,0,1,0,0,0,0,0,0,0,0
41,10,2006,0.0,0.0,0.0,3,1.0,2076.0,2076,2,4,850.0,1,465000,1,1.0,0,1,0,0,0,0,0,0,1,0
42,5,1978,0.0,0.0,104.0,4,0.0,1097.0,1110,1,3,602.0,1,165500,1,1.0,0,1,0,0,0,0,0,0,0,0
43,5,1954,0.0,0.0,335.0,3,0.0,1050.0,1795,2,2,352.0,1,131500,1,1.0,0,0,1,0,0,0,0,0,0,0
44,5,1965,1.0,0.0,0.0,3,0.0,1040.0,1040,1,2,384.0,1,129500,1,0.0,0,1,0,0,0,0,0,0,0,0
45,8,1935,0.0,0.0,40.0,3,0.0,608.0,1873,1,2,786.0,1,257076,1,0.0,0,1,0,0,1,0,0,0,0,0
46,5,1941,0.0,0.0,0.0,3,0.0,984.0,1604,2,2,660.0,1,117000,1,0.0,0,1,0,0,0,0,0,0,0,0
47,7,1931,0.0,0.0,0.0,2,0.0,776.0,1502,1,2,270.0,0,149000,1,1.0,0,1,0,0,1,0,0,0,0,0
48,5,1954,0.0,0.0,110.0,3,0.0,1056.0,1063,1,2,280.0,1,128000,1,1.0,0,1,0,0,0,0,0,0,0,0
49,7,2003,0.0,0.0,106.0,3,0.0,764.0,1626,2,3,474.0,1,155000,1,1.0,0,1,0,0,0,0,0,0,1,0
50,6,2000,0.0,0.0,513.0,3,0.0,756.0,1524,2,3,440.0,1,166000,1,0.0,0,0,0,1,0,0,0,0,0,0
51,4,1928,0.0,0.0,0.0,3,0.0,1122.0,1981,2,3,576.0,1,135000,1,0.0,0,1,0,0,0,0,0,0,0,0
52,7,1978,0.0,0.0,184.0,3,0.0,1392.0,2784,3,3,564.0,1,250000,1,1.0,0,1,0,0,0,0,0,0,0,0
53,4,1970,0.0,0.0,0.0,3,0.0,546.0,1092,1,2,0.0,1,76000,1,0.0,0,0,1,0,0,0,0,0,0,0
54,6,1951,1.0,0.0,522.0,3,0.0,216.0,1575,1,3,400.0,1,155000,1,1.0,0,1,0,0,0,0,0,0,0,0
55,6,1969,0.0,0.0,143.0,3,0.0,663.0,1352,1,2,299.0,1,158000,1,1.0,0,1,0,0,0,0,0,0,0,0
56,7,2004,0.0,0.0,0.0,3,0.0,600.0,1200,2,3,480.0,1,149500,1,0.0,0,0,0,1,0,0,0,0,0,0
57,5,1954,0.0,0.0,0.0,4,0.0,936.0,936,1,2,240.0,1,121000,1,1.0,0,1,0,0,0,0,0,0,0,0
58,6,1953,1.0,0.0,0.0,3,0.0,1040.0,1040,1,2,293.0,1,136000,1,1.0,0,1,0,0,0,0,0,0,0,0
59,6,1996,0.0,0.0,0.0,3,0.0,916.0,1636,2,2,386.0,1,173000,1,1.0,0,1,0,0,0,0,0,0,0,0
60,8,1999,0.0,0.0,348.0,3,0.0,1152.0,2270,2,3,671.0,1,290000,1,1.0,0,1,0,0,0,0,1,1,0,0
61,8,2007,0.0,0.0,0.0,3,0.0,1184.0,2610,2,4,550.0,1,303477,1,1.0,0,0,0,1,0,0,0,0,0,0
62,7,1977,1.0,0.0,0.0,4,1.0,1420.0,1483,1,2,690.0,1,270000,1,1.0,0,1,0,0,0,0,0,0,0,0
63,5,1920,0.0,0.0,0.0,2,0.0,936.0,1740,1,4,225.0,0,122250,1,0.0,0,0,1,0,0,0,0,0,0,0
64,5,1955,0.0,0.0,0.0,3,0.0,1382.0,1382,1,3,350.0,1,153000,1,1.0,0,1,0,0,0,0,0,0,0,0
65,5,2007,0.0,0.0,0.0,3,0.0,1120.0,1120,1,2,0.0,1,147000,1,0.0,0,1,0,0,0,0,0,0,0,0
66,7,1930,0.0,0.0,0.0,3,0.0,531.0,1098,1,2,216.0,1,148500,1,0.0,0,1,0,0,0,0,0,0,0,0
67,7,2004,0.0,0.0,117.0,3,0.0,976.0,1708,2,3,380.0,1,130000,1,0.0,0,0,1,0,0,0,0,0,0,0
68,9,2006,1.0,0.0,510.0,3,1.0,1802.0,1802,2,4,843.0,1,372000,1,1.0,0,1,0,0,1,0,0,0,1,0
69,7,2005,0.0,0.0,145.0,3,1.0,1362.0,1506,2,3,440.0,1,213490,1,1.0,0,1,0,0,0,0,0,0,0,0
70,7,2009,0.0,0.0,96.0,3,1.0,1508.0,1508,1,3,572.0,1,308030,1,1.0,0,1,0,0,0,0,0,0,0,0
71,7,1996,0.0,0.0,668.0,3,0.0,1840.0,2032,3,3,786.0,1,300000,1,1.0,0,1,0,0,0,0,0,0,0,0
72,6,1959,1.0,0.0,0.0,3,0.0,655.0,1194,1,2,539.0,1,159500,1,1.0,0,1,0,0,0,0,0,0,0,0
73,7,2004,0.0,0.0,50.0,3,0.0,970.0,1709,2,3,380.0,1,137500,1,0.0,0,0,1,0,0,0,0,0,0,0
74,7,2005,0.0,0.0,228.0,3,0.0,1616.0,1616,2,3,834.0,1,232000,1,1.0,0,1,0,0,0,0,0,0,0,0
75,6,1930,0.0,0.0,0.0,4,0.0,768.0,768,1,2,440.0,0,93850,1,0.0,0,0,1,0,0,0,0,0,0,0
76,5,1924,0.0,0.0,65.0,3,0.0,872.0,872,1,1,322.0,0,105000,1,0.0,0,1,0,0,0,0,0,0,0,0
77,4,1927,0.0,0.0,0.0,3,0.0,520.0,520,1,1,240.0,1,68500,1,0.0,0,0,1,0,0,0,0,0,0,0
78,5,1960,0.0,0.0,361.0,3,0.0,1105.0,2274,2,2,480.0,1,154300,1,0.0,0,1,0,0,0,0,0,0,0,0
79,5,1925,0.0,0.0,0.0,4,0.0,936.0,1601,2,2,0.0,0,129850,1,0.0,0,0,1,0,0,0,0,0,0,0
80,5,1910,0.0,0.0,0.0,3,0.0,616.0,1232,1,2,480.0,1,114000,1,0.0,0,0,1,0,0,0,0,0,0,0
81,9,2008,1.0,0.0,748.0,3,0.0,2216.0,2234,2,4,1166.0,1,501837,1,1.0,0,1,0,0,0,0,1,0,0,0
82,5,1915,0.0,0.0,0.0,3,0.0,876.0,1416,1,2,720.0,1,153900,1,0.0,0,0,1,0,0,0,0,0,0,0
83,4,1971,0.0,0.0,0.0,4,0.0,864.0,864,1,2,576.0,1,130000,1,0.0,0,1,0,0,0,0,0,0,0,0
84,6,1997,1.0,0.0,197.0,3,0.0,1189.0,1189,2,2,392.0,1,160500,1,1.0,0,0,1,0,0,0,0,0,0,0
85,9,2006,1.0,0.0,572.0,3,0.0,1666.0,1666,2,3,575.0,1,310090,1,1.0,0,1,0,0,0,0,0,0,1,0
86,7,2003,0.0,0.0,0.0,3,0.0,1176.0,1200,2,3,555.0,1,184900,1,1.0,0,1,0,0,0,0,0,0,0,0
87,5,1956,1.0,0.0,0.0,3,0.0,928.0,928,1,2,252.0,1,132000,1,1.0,0,1,0,0,0,0,0,0,0,0
88,5,1969,0.0,0.0,128.0,3,0.0,1288.0,1336,2,2,502.0,1,163000,1,1.0,0,1,0,0,0,0,0,0,0,0
89,7,2004,0.0,0.0,120.0,3,0.0,600.0,1200,2,3,480.0,1,155000,1,0.0,0,0,0,1,0,0,0,0,0,0
90,6,1969,0.0,0.0,0.0,3,0.0,1427.0,1427,2,2,516.0,1,183000,1,1.0,0,1,0,0,0,0,0,0,0,0
91,7,1996,0.0,0.0,254.0,3,0.0,860.0,1992,2,3,608.0,1,211000,1,1.0,0,1,0,0,0,0,0,0,0,0
92,7,1994,0.0,0.0,0.0,3,0.0,754.0,1540,2,3,495.0,1,184000,1,1.0,0,1,0,0,0,0,0,0,0,0
93,5,1979,0.0,0.0,0.0,3,0.0,0.0,1535,2,2,400.0,1,118858,0,1.0,0,1,0,0,0,1,0,0,0,0
94,5,1964,1.0,0.0,86.0,3,0.0,1152.0,1152,1,2,484.0,1,180500,1,1.0,0,1,0,0,0,0,0,0,0,0
95,8,2006,0.0,0.0,30.0,3,0.0,1141.0,1151,2,3,484.0,1,166000,1,1.0,0,0,0,1,0,0,0,0,0,0
96,6,1960,1.0,0.0,54.0,3,0.0,1138.0,1138,1,2,480.0,1,148000,1,1.0,0,1,0,0,0,0,0,0,0,0
97,5,1956,1.0,0.0,0.0,3,0.0,894.0,1074,1,3,396.0,1,124000,1,0.0,0,1,0,0,0,0,0,0,0,0
98,9,2005,1.0,0.0,246.0,3,0.0,1561.0,1561,2,4,556.0,1,277500,1,1.0,0,1,0,0,0,0,0,0,1,0
99,8,1995,1.0,0.0,397.0,3,0.0,1342.0,2726,2,3,725.0,1,350000,1,1.0,0,1,0,0,0,0,0,1,0,0
100,9,2004,1.0,0.0,296.0,3,1.0,1884.0,1884,2,4,670.0,1,387000,1,1.0,0,1,0,0,1,0,1,0,0,0
101,4,1920,0.0,0.0,0.0,3,0.0,528.0,605,1,2,0.0,0,86000,1,0.0,0,1,0,0,0,0,0,0,0,0
102,8,1976,0.0,0.0,0.0,5,0.0,1426.0,1671,3,4,550.0,1,290000,1,1.0,0,1,0,0,0,0,0,0,0,0
103,3,1900,0.0,0.0,0.0,2,0.0,245.0,797,1,2,0.0,0,44000,1,0.0,0,0,0,0,0,0,0,0,0,0
104,6,2001,0.0,0.0,0.0,3,0.0,804.0,1961,2,3,560.0,1,215000,1,1.0,0,1,0,0,0,0,1,0,0,0
105,5,1972,0.0,0.0,144.0,3,0.0,1153.0,1193,2,2,501.0,1,146500,1,1.0,0,1,0,0,0,0,0,0,0,0
106,7,2000,0.0,0.0,0.0,3,0.0,673.0,1382,2,3,490.0,1,165000,1,0.0,0,0,0,1,0,0,0,0,0,0
107,6,1916,0.0,0.0,0.0,4,0.0,714.0,2526,2,3,216.0,1,136000,1,0.0,0,0,1,0,0,0,0,0,0,0
108,6,1957,0.0,0.0,902.0,3,1.0,1705.0,1390,1,4,550.0,1,252000,1,1.0,0,1,0,0,0,0,1,0,0,0
109,7,2003,0.0,0.0,106.0,3,0.0,764.0,1626,2,3,474.0,1,175500,1,1.0,0,1,0,0,0,0,0,0,1,0
110,5,1939,0.0,0.0,0.0,3,0.0,690.0,1558,1,2,400.0,1,150000,1,0.0,0,0,1,0,0,0,0,0,0,0
111,5,1960,1.0,0.0,0.0,3,0.0,978.0,1422,1,2,286.0,1,139900,1,1.0,0,1,0,0,0,0,0,0,0,0
112,5,1930,0.0,0.0,0.0,3,0.0,1078.0,1573,2,2,360.0,0,162900,1,0.0,0,0,1,0,0,0,0,0,0,0
113,6,1962,1.0,0.0,261.0,3,0.0,1116.0,1116,1,2,440.0,1,160000,1,1.0,0,1,0,0,0,0,0,0,0,0
114,2,1947,0.0,0.0,0.0,3,0.0,0.0,660,1,1,0.0,0,63900,0,0.0,0,1,0,0,0,0,0,0,0,0
115,6,1978,0.0,0.0,144.0,3,0.0,1140.0,1707,2,2,479.0,1,184000,1,1.0,0,1,0,0,0,0,0,0,0,0
116,5,1959,0.0,0.0,132.0,3,0.0,1466.0,1466,1,1,528.0,1,149900,1,1.0,0,1,0,0,0,0,0,0,0,0
117,9,2000,1.0,0.0,260.0,3,0.0,1614.0,1638,2,4,495.0,1,300000,1,1.0,0,0,0,1,0,0,0,0,0,0
118,5,1960,0.0,0.0,275.0,3,0.0,988.0,1721,2,2,626.0,1,145000,1,0.0,0,1,0,0,0,0,0,0,0,0
119,6,1997,0.0,0.0,0.0,3,0.0,928.0,1764,2,3,470.0,1,231500,1,1.0,0,1,0,0,0,0,0,0,0,0
120,5,1940,0.0,0.0,0.0,3,0.0,996.0,996,1,2,0.0,1,108000,1,0.0,0,1,0,0,0,0,0,0,0,0
121,5,1956,0.0,0.0,0.0,3,0.0,1202.0,1202,1,2,304.0,1,120000,1,1.0,0,1,0,0,0,0,0,0,0,0
122,5,1961,1.0,0.0,57.0,3,0.0,988.0,988,1,2,572.0,1,128500,1,0.0,0,1,0,0,0,0,0,0,0,0
123,5,1927,0.0,0.0,0.0,3,0.0,1008.0,1028,1,2,360.0,1,115000,1,0.0,0,0,1,0,0,0,0,0,0,0
124,5,1947,0.0,0.0,0.0,3,0.0,720.0,1284,1,2,240.0,1,110000,1,0.0,0,0,1,0,0,0,0,0,0,0
125,9,1977,0.0,0.0,1050.0,4,0.0,994.0,2944,2,3,864.0,1,150000,1,1.0,0,1,0,0,0,0,1,0,0,0
126,8,2004,0.0,0.0,0.0,3,0.0,707.0,1414,2,3,403.0,1,178000,1,1.0,0,1,0,0,0,0,0,0,0,0
127,7,1932,0.0,0.0,0.0,3,0.0,637.0,1609,1,3,579.0,1,199500,1,0.0,0,1,0,0,1,0,0,0,0,0
128,6,1997,0.0,0.0,0.0,3,0.0,813.0,1525,2,2,400.0,1,183500,1,1.0,0,1,0,0,0,0,0,0,0,0
129,5,1967,1.0,0.0,0.0,3,0.0,624.0,1656,1,2,288.0,1,126000,1,1.0,0,0,1,0,0,0,0,0,0,0
130,7,1977,0.0,0.0,0.0,3,0.0,1055.0,1055,2,2,440.0,1,148500,1,1.0,0,1,0,0,0,0,0,0,0,0
131,5,1939,0.0,0.0,0.0,4,0.0,676.0,1352,2,3,720.0,1,149000,1,0.0,0,1,0,0,0,0,0,0,0,0
132,6,1977,0.0,0.0,0.0,3,0.0,855.0,1456,2,2,440.0,1,137900,1,1.0,0,1,0,0,0,0,0,0,0,0
133,8,1993,0.0,0.0,0.0,3,1.0,1719.0,1719,1,3,473.0,1,324000,1,1.0,0,1,0,0,0,0,1,0,0,0
134,5,1925,0.0,0.0,0.0,3,0.0,864.0,864,1,2,0.0,1,98000,1,0.0,0,1,0,0,0,0,0,0,0,0
135,6,1973,0.0,0.0,359.0,3,0.0,483.0,987,1,2,264.0,1,103400,1,0.0,0,0,1,0,0,0,0,0,0,1
136,5,1875,0.0,0.0,0.0,4,0.0,780.0,1020,1,2,0.0,0,94000,1,0.0,0,1,0,0,0,0,0,0,0,0
137,8,2006,0.0,0.0,108.0,3,0.0,1554.0,1554,2,3,627.0,1,209500,1,1.0,0,1,0,0,0,0,0,0,1,0
138,10,2006,1.0,0.0,662.0,3,1.0,1528.0,3390,3,4,758.0,1,545224,1,1.0,0,1,0,0,1,0,1,0,0,0
139,6,1912,0.0,0.0,0.0,4,0.0,780.0,1560,1,3,0.0,0,159900,1,0.0,0,0,1,0,0,0,0,0,0,0
140,4,1951,0.0,0.0,0.0,3,0.0,864.0,864,1,2,400.0,1,141000,1,0.0,0,1,0,0,0,0,0,0,0,0
141,6,2000,0.0,0.0,0.0,3,0.0,982.0,1889,2,2,431.0,1,215000,1,1.0,0,1,0,0,0,0,0,0,0,0
142,5,1962,0.0,0.0,0.0,4,0.0,1040.0,1040,1,2,260.0,1,127000,1,0.0,0,1,0,0,0,0,0,0,0,0
143,5,1954,0.0,0.0,0.0,3,0.0,1172.0,1172,1,2,366.0,1,128000,1,1.0,0,1,0,0,0,0,0,0,0,0
144,8,2010,0.0,0.0,0.0,3,0.0,1642.0,1418,1,3,852.0,1,267916,1,1.0,0,0,0,1,0,0,0,0,0,0
145,6,1931,0.0,0.0,0.0,3,0.0,884.0,1367,1,2,560.0,1,127500,1,0.0,0,0,1,0,0,0,0,0,0,0
146,7,2003,0.0,0.0,500.0,3,0.0,0.0,1922,3,3,672.0,1,198500,0,1.0,0,1,0,0,0,0,0,0,0,0
147,6,1981,0.0,0.0,210.0,4,0.0,1422.0,1422,2,3,576.0,1,175500,1,1.0,0,1,0,0,0,0,0,0,0,0
148,7,2000,0.0,0.0,144.0,3,0.0,985.0,1842,2,3,486.0,1,217500,1,1.0,0,1,0,0,0,0,0,0,0,0
149,4,1915,0.0,0.0,0.0,2,0.0,888.0,1962,1,2,572.0,1,149500,1,0.0,0,0,1,0,0,0,0,0,0,0
150,5,1966,1.0,0.0,165.0,3,0.0,864.0,1120,1,2,656.0,1,148800,1,1.0,0,1,0,0,0,0,0,0,0,0
151,9,2005,1.0,0.0,208.0,3,0.0,1992.0,2868,3,4,716.0,1,556581,1,1.0,0,1,0,0,0,0,0,0,0,0
152,6,1957,1.0,0.0,0.0,3,0.0,1478.0,1478,1,2,442.0,1,156500,1,1.0,0,1,0,0,0,0,0,0,0,0
153,7,1995,0.0,0.0,0.0,4,0.0,930.0,1995,2,3,610.0,1,237000,1,1.0,0,1,0,0,0,0,0,0,0,0
154,5,1958,0.0,0.0,0.0,3,0.0,912.0,912,1,2,297.0,1,120000,1,1.0,0,1,0,0,0,0,0,0,0,0
155,6,2005,0.0,0.0,0.0,3,0.0,1326.0,1326,2,3,388.0,1,203000,1,1.0,0,1,0,0,0,0,0,0,0,0
156,8,1987,0.0,0.0,0.0,3,0.0,1191.0,1204,2,2,461.0,1,130000,1,1.0,0,1,0,0,0,0,0,0,0,0
157,6,1964,0.0,0.0,360.0,3,1.0,780.0,1611,1,2,442.0,1,167900,1,1.0,0,1,0,0,0,0,0,0,0,0
158,4,1970,0.0,0.0,160.0,3,0.0,960.0,960,1,2,576.0,1,129000,1,0.0,0,1,0,0,0,0,0,0,0,0
159,5,1957,0.0,0.0,64.0,3,0.0,1070.0,1236,1,3,447.0,1,134450,1,1.0,0,1,0,0,0,0,0,0,0,0
160,5,1918,0.0,0.0,0.0,4,0.0,816.0,1416,2,3,576.0,0,112000,1,1.0,0,1,0,0,0,0,0,0,0,0
161,7,1988,0.0,0.0,360.0,3,0.0,929.0,1873,2,3,619.0,1,207000,1,1.0,0,1,0,0,0,0,0,0,0,0
162,5,1922,1.0,0.0,0.0,3,0.0,1040.0,2128,2,2,0.0,1,62500,1,0.0,0,0,1,0,0,1,0,0,0,0
163,7,2003,0.0,0.0,106.0,3,0.0,764.0,1626,2,3,474.0,1,154000,1,1.0,0,1,0,0,0,0,0,0,1,0
164,5,1957,0.0,0.0,0.0,3,0.0,816.0,816,1,2,308.0,1,129900,1,0.0,0,1,0,0,0,0,0,0,0,0
165,5,1976,0.0,0.0,0.0,3,0.0,536.0,1112,1,2,336.0,1,85000,1,1.0,0,0,1,0,0,0,0,0,0,0
166,7,1926,0.0,0.0,0.0,3,0.0,572.0,1111,1,2,288.0,1,116900,1,0.0,0,0,1,0,0,0,0,0,0,0
167,6,1978,0.0,0.0,0.0,3,0.0,855.0,1441,2,2,440.0,1,148500,1,1.0,0,1,0,0,0,0,0,0,0,0
168,4,1941,0.0,0.0,0.0,2,0.0,672.0,924,1,1,280.0,1,80000,1,0.0,0,1,0,0,0,0,0,0,0,0
169,5,1984,0.0,0.0,0.0,3,0.0,1060.0,1126,1,2,506.0,1,152000,1,1.0,0,1,0,0,0,0,1,0,0,0
170,5,1954,0.0,0.0,0.0,4,0.0,381.0,992,1,2,319.0,1,155891,1,0.0,0,1,0,0,0,0,0,0,0,0
171,6,1920,0.0,0.0,0.0,4,0.0,768.0,1376,1,3,576.0,0,165000,1,0.0,0,1,0,0,0,1,0,0,0,0
172,7,2009,1.0,0.0,0.0,3,0.0,1218.0,1218,2,3,676.0,1,204500,1,1.0,0,0,0,1,0,0,0,0,0,0
173,5,1942,0.0,0.0,224.0,3,0.0,728.0,1644,1,3,312.0,1,146500,1,1.0,0,1,0,0,0,0,0,0,0,0
174,7,1978,0.0,0.0,206.0,3,0.0,1271.0,1601,2,2,478.0,1,157000,1,1.0,0,1,0,0,0,0,0,0,0,0
175,7,1890,0.0,0.0,0.0,3,0.0,1313.0,2495,2,2,342.0,1,184000,1,0.0,0,0,1,0,0,0,0,0,0,0
176,6,2002,0.0,0.0,0.0,3,0.0,783.0,1509,2,3,393.0,1,183200,1,1.0,0,1,0,0,0,0,0,0,0,0
177,5,1962,0.0,0.0,116.0,3,0.0,1092.0,1092,1,2,288.0,1,139000,1,1.0,0,1,0,0,0,0,0,0,0,0
178,7,1993,1.0,0.0,651.0,3,1.0,1311.0,2418,2,3,983.0,1,341000,1,1.0,0,1,0,0,0,0,0,1,0,0
179,6,1971,0.0,0.0,504.0,3,0.0,483.0,987,1,2,264.0,1,96000,1,0.0,0,0,1,0,0,0,0,0,0,1
180,4,2003,0.0,0.0,0.0,3,0.0,1121.0,1121,2,2,440.0,1,140000,1,1.0,0,0,1,0,0,0,0,0,0,0
181,6,1957,0.0,0.0,0.0,3,0.0,912.0,1236,1,2,923.0,1,149700,1,1.0,0,0,1,0,0,0,0,0,0,0
182,5,1975,0.0,0.0,0.0,3,0.0,1056.0,1074,1,2,495.0,1,153500,1,1.0,0,1,0,0,0,0,0,0,0,0
183,1,1952,0.0,0.0,0.0,1,0.0,0.0,733,1,1,487.0,0,13100,0,1.0,0,0,0,0,0,0,0,0,0,0
184,7,2003,0.0,0.0,252.0,3,0.0,884.0,1768,2,3,543.0,1,224900,1,1.0,0,1,0,0,0,0,0,0,0,0
185,7,2005,0.0,0.0,0.0,3,0.0,1257.0,1266,2,3,453.0,1,176000,1,1.0,0,0,0,1,0,0,0,0,0,0
186,8,1992,1.0,0.0,337.0,3,0.0,1683.0,2872,2,3,541.0,1,285000,1,1.0,0,1,0,0,0,0,0,1,0,0
187,8,2007,0.0,0.0,84.0,3,1.0,1485.0,1464,2,3,754.0,1,282922,1,1.0,0,1,0,0,0,0,1,0,0,0
188,7,1966,0.0,0.0,309.0,3,0.0,924.0,2157,2,3,487.0,1,226000,1,1.0,0,1,0,0,0,0,0,0,0,0
189,8,2006,1.0,0.0,466.0,3,0.0,1234.0,2576,2,4,666.0,1,361919,1,1.0,0,1,0,0,0,0,0,0,0,0
190,9,2005,1.0,0.0,600.0,5,1.0,1398.0,2798,3,4,670.0,1,457347,1,1.0,0,1,0,0,1,0,1,0,0,0
191,8,1976,0.0,1.0,0.0,3,1.0,966.0,1743,0,3,529.0,1,279000,1,1.0,0,1,0,0,0,0,0,0,0,0
